# Kpath    Energy-Level (in eV)
# Band    1
       2.40444     -14.12275
       2.42670     -14.13361
       2.44896     -14.15097
       2.47122     -14.17381
       2.49348     -14.20085
       2.51574     -14.23040
       2.53801     -14.26036
       2.56027     -14.28833
       2.58253     -14.31145
       2.60479     -14.32685
       2.62705     -14.33230
       2.62705     -14.33230
       2.64129     -14.32744
       2.65553     -14.31332
       2.66978     -14.29111
       2.68402     -14.26232
       2.69826     -14.22851
       2.71250     -14.19097
       2.72674     -14.15088
       2.74098     -14.10898
       2.75522     -14.06598
       2.76946     -14.02237
       2.78370     -13.97851
       2.79794     -13.93471
       2.81218     -13.89122
       2.82643     -13.84823
       2.84067     -13.80588
       2.85491     -13.76432
       2.86915     -13.72360
       2.88339     -13.68386
       2.89763     -13.64519
       2.91187     -13.60756
       2.92611     -13.57110
       2.94035     -13.53575
       2.95459     -13.50161
       2.96883     -13.46870
       2.98307     -13.43698
       2.99732     -13.40656
       3.01156     -13.37739
       3.02580     -13.34950
       3.04004     -13.32287
       3.05428     -13.29755
       3.06852     -13.27349
       3.08276     -13.25071
       3.09700     -13.22924
       3.11124     -13.20906
       3.12548     -13.19019
       3.13972     -13.17262
       3.15397     -13.15641
       3.16821     -13.14145
       3.18245     -13.12777
       3.19669     -13.11538
       3.21093     -13.10430
       3.22517     -13.09450
       3.23941     -13.08602
       3.25365     -13.07885
       3.26789     -13.07300
       3.28213     -13.06844
       3.29637     -13.06518
       3.31061     -13.06322
       3.32486     -13.06262
       3.32486     -13.06262
       3.34197     -13.06878
       3.35908     -13.08704
       3.37619     -13.11672
       3.39330     -13.15704
       3.41041     -13.20681
       3.42752     -13.26484
       3.44463     -13.32994
       3.46174     -13.40104
       3.47885     -13.47709
       3.49596     -13.55724
       3.51307     -13.64074
       3.53019     -13.72690
       3.54730     -13.81521
       3.56441     -13.90518
       3.58152     -13.99636
       3.59863     -14.08841
       3.61574     -14.18103
       3.63285     -14.27394
       3.64996     -14.36690
       3.66707     -14.45978
       3.68418     -14.55230
       3.70129     -14.64432
       3.71840     -14.73567
       3.73551     -14.82619
       3.75263     -14.91577
       3.76974     -15.00428
       3.78685     -15.09154
       3.80396     -15.17743
       3.82107     -15.26180
       3.83818     -15.34453
       3.85529     -15.42543
       3.87240     -15.50438
       3.88951     -15.58123
       3.90662     -15.65573
       3.92373     -15.72769
       3.94084     -15.79690
       3.95795     -15.86313
       3.97507     -15.92607
       3.99218     -15.98544
       4.00929     -16.04089
       4.02640     -16.09208
       4.04351     -16.13861
       4.06062     -16.18009
       4.07773     -16.19243
       4.09484     -16.18323
       4.11195     -16.17597
       4.12906     -16.17073
       4.14617     -16.16756
       4.16328     -16.16651
# Band    4
       4.16328     -12.98337
       4.14617     -12.98099
       4.12906     -12.97389
       4.11195     -12.96211
       4.09484     -12.94569
       4.07773     -12.92473
       4.06062     -12.89931
       4.04351     -12.86955
       4.02640     -12.83557
       4.00929     -12.79754
       3.99218     -12.75557
       3.97507     -12.70982
       3.95795     -12.66045
       3.94084     -12.60761
       3.92373     -12.55149
       3.90662     -12.49219
       3.88951     -12.42987
       3.87240     -12.36466
       3.85529     -12.29674
       3.83818     -12.22624
       3.82107     -12.15324
       3.80396     -12.07791
       3.78685     -12.00033
       3.76974     -11.92065
       3.75263     -11.83895
       3.73551     -11.75538
       3.71840     -11.67004
       3.70129     -11.58300
       3.68418     -11.49434
       3.66707     -11.40423
       3.64996     -11.31276
       3.63285     -11.22002
       3.61574     -11.12612
       3.59863     -11.03113
       3.58152     -10.93522
       3.56441     -10.83850
       3.54730     -10.74110
       3.53019     -10.64317
       3.51307     -10.54493
       3.49596     -10.44661
       3.47885     -10.40655
       3.46174     -10.48304
       3.44463     -10.55456
       3.42752     -10.62013
       3.41041     -10.67863
       3.39330     -10.72878
       3.37619     -10.76945
       3.35908     -10.79942
       3.34197     -10.81784
       3.32486     -10.82407
       3.32486     -10.82407
       3.31061     -10.82559
       3.29637     -10.83016
       3.28213     -10.83765
       3.26789     -10.84785
       3.25365     -10.86055
       3.23941     -10.87548
       3.22517     -10.89235
       3.21093     -10.91094
       3.19669     -10.93090
       3.18245     -10.95204
       3.16821     -10.97409
       3.15397     -10.99681
       3.13972     -11.02004
       3.12548     -11.04359
       3.11124     -11.06733
       3.09700     -11.09112
       3.08276     -11.11484
       3.06852     -11.13840
       3.05428     -11.16172
       3.04004     -11.18468
       3.02580     -11.20725
       3.01156     -11.22934
       2.99732     -11.25093
       2.98307     -11.27196
       2.96883     -11.29241
       2.95459     -11.31218
       2.94035     -11.33130
       2.92611     -11.34971
       2.91187     -11.36742
       2.89763     -11.38438
       2.88339     -11.40052
       2.86915     -11.41589
       2.85491     -11.43049
       2.84067     -11.44424
       2.82643     -11.45714
       2.81218     -11.46921
       2.79794     -11.48044
       2.78370     -11.49078
       2.76946     -11.50025
       2.75522     -11.50882
       2.74098     -11.51653
       2.72674     -11.52335
       2.71250     -11.52926
       2.69826     -11.53431
       2.68402     -11.53841
       2.66978     -11.54162
       2.65553     -11.54390
       2.64129     -11.54528
       2.62705     -11.54572
       2.62705     -11.54572
       2.60479     -11.54853
       2.58253     -11.55660
       2.56027     -11.56875
       2.53801     -11.58331
       2.51574     -11.59826
       2.49348     -11.61157
       2.47122     -11.62128
       2.44896     -11.62563
       2.42670     -11.62306
       2.40444     -11.61237
       2.38217     -11.59275
       2.35991     -11.56355
       2.33765     -11.52466
       2.31539     -11.47605
       2.29313     -11.41809
       2.27087     -11.35126
       2.24860     -11.27607
       2.22634     -11.19335
       2.20408     -11.10379
       2.18182     -11.00831
       2.15956     -10.90973
       2.13730     -10.90536
       2.11503     -11.02991
       2.09277     -11.15703
       2.07051     -11.28267
       2.04825     -11.40606
       2.02599     -11.52678
       2.00373     -11.64444
       1.98146     -11.75870
       1.95920     -11.86936
       1.93694     -11.97607
       1.91468     -12.07859
       1.89242     -12.17666
       1.87016     -12.27003
       1.84789     -12.35847
       1.82563     -12.44174
       1.80337     -12.51967
       1.78111     -12.59204
       1.75885     -12.65868
       1.73659     -12.71944
       1.71432     -12.77419
       1.69206     -12.82278
       1.66980     -12.86513
       1.64754     -12.90111
       1.62528     -12.93065
       1.60302     -12.95368
       1.58075     -12.97016
       1.55849     -12.98008
       1.53623     -12.98337
       1.53623     -12.98337
       1.52199     -12.98247
       1.50775     -12.97967
       1.49351     -12.97498
       1.47927     -12.96846
       1.46503     -12.96009
       1.45079     -12.94989
       1.43655     -12.93787
       1.42230     -12.92405
       1.40806     -12.90845
       1.39382     -12.89109
       1.37958     -12.87197
       1.36534     -12.85119
       1.35110     -12.82873
       1.33686     -12.80459
       1.32262     -12.77884
       1.30838     -12.75156
       1.29414     -12.72277
       1.27990     -12.69248
       1.26565     -12.66076
       1.25141     -12.62766
       1.23717     -12.59322
       1.22293     -12.55753
       1.20869     -12.52063
       1.19445     -12.48262
       1.18021     -12.44353
       1.16597     -12.40347
       1.15173     -12.36251
       1.13749     -12.32073
       1.12325     -12.27825
       1.10901     -12.23518
       1.09476     -12.19168
